Keyword,Target Folder,Description,優先順位
大雨特別警報,emergency/rain_warning,命に関わる優先情報,5
暴風特別警報,emergency/wind_heavy,命に関わる優先情報,10
火山,emergency/volcano1,火山の情報,15
降灰,emergency/volcano2,火山の情報,20
土砂災害危険警報,emergency/landslide,命に関わる優先情報,25
記録的短時間大雨,emergency/rain_record,命に関わる優先情報,30
大雨危険警報,warning/rain_heavy1,命に関わる情報,35
洪水警報,warning/river,通常の警戒情報,40
大雪,warning/snow,通常の警戒情報,45
大雨警報,warning/rain_heavy2,通常の警戒情報,50
台風,warning/typhoon,通常の警戒情報,55
竜巻注意情報,warning/tornado,通常の警戒情報,60
防災速報,emergency/defender,防災速報など,65
天候情報,weather/whole1,長期予報など,70
解説情報,weather/whole2,長期予報など,75
熱中症警戒アラート,attention/hotspot,高温計情報,80
黄砂,attention/yellow,黄砂飛散,85
花粉症,attention/pollen,花粉症情報,90
開花,enjoy/sakura,桜開花予報など,95
